date ,open, highest ,lowest, close ,amout, vol ,str07
20160930,2994.25,3009.2,2993.06,3004.7,11279454208,101333562,21562029
20161010,3020.46,3048.24,3014.62,3048.14,17552179200,160051104,6095858
20161011,3051.62,3066.1,3048.02,3065.25,18378765107,167273496,17236751
20161012,3057.32,3060.51,3048.89,3058.5,15998296064,142493577,41550255
20161013,3057.97,3065,3052.64,3061.35,16633587302,154756725,36504037
20161014,3056.99,3064.79,3043.18,3063.81,16379299430,155373705,42009002
20161017,3064.69,3068.81,3033.75,3041.17,18059408179,163733265,57999575
20161018,3037.4,3084.19,3037.4,3083.88,19603613286,182042460,2688044
20161019,3085.75,3096.22,3076.77,3084.72,19748113613,182470143,41550256
20161020,3084.91,3089.68,3076.29,3084.46,17767453491,160691364,37159413
20161021,3081.39,3101.85,3069.27,3090.94,20195365683,187388072,47907175
20161024,3092.05,3137.03,3090.79,3128.25,25035440128,240522349,10159031
20161025,3127.97,3132.5,3121.05,3131.94,22086146458,203380898,27656861
20161026,3129.84,3129.84,3110.39,3116.31,21576771174,191663263,50331988
20161027,3112.6,3114.76,3100.39,3112.35,18223711846,158008789,36635142
20161028,3111.7,3128.64,3101.24,3104.27,21259301683,181774123,54264089
20161031,3097.19,3102.3,3081.07,3100.49,17842774016,151506764,37814777
20161101,3101.66,3122.61,3097.04,3122.44,19583159501,160232032,7799745
20161102,3115.73,3118.98,3099.82,3102.73,22167653581,182722067,54067487
20161103,3096.76,3140.93,3094.1,3128.94,26582035661,222986260,19137310
20161104,3126.35,3141.33,3119.54,3125.32,23904326451,197683197,43581871
20161107,3124.89,3139.2,3117.1,3133.33,21060232806,179418490,32899655
20161108,3140.94,3156.88,3134.95,3147.89,22158511309,190846979,20382470
20161109,3146.08,3146.95,3096.95,3128.37,27722940416,241114958,55771397
20161110,3148.54,3172.31,3148.54,3171.28,28599281254,244192602,3736616
20161111,3169.4,3202.74,3166.07,3196.04,34377393766,310854579,23528163
20161114,3187.71,3221.46,3186.8,3210.37,34697461760,329608313,29164160
20161115,3209.95,3214.29,3195.04,3206.99,26700387123,240886350,30999145
20161116,3208.5,3210.89,3195.41,3205.06,24485450547,221766993,38601183
20161117,3198.5,3211.05,3187.21,3208.45,22677585920,214206240,39453146
20161118,3207.19,3212.39,3187.5,3192.86,23535206400,209826639,47120752
20161121,3188.5,3229.76,3188.28,3218.15,26317781402,230652844,25363107
20161122,3220.98,3249.68,3220.98,3248.35,29248484147,261631547,15467338
20161123,3247.94,3262.88,3231.59,3241.14,27794246861,249959592,52166943
20161124,3237.43,3257.86,3232.87,3241.74,26722471117,232324527,44433810
20161125,3241.24,3262.44,3209.6,3261.94,25911703962,233921601,34079276
20161128,3270.05,3288.34,3267.67,3277,30046014669,281551253,35062302
20161129,3269.23,3301.21,3263.4,3282.92,34814935040,320836287,53477664
20161130,3272.14,3277.27,3239.52,3250.03,26280873165,243576053,47710582
20161201,3257.03,3279.67,3256.26,3273.31,26155393024,237759864,18481964
20161202,3270.12,3279.71,3235.28,3243.84,28155910554,259567205,62324898
20161205,3203.78,3219.52,3194.88,3204.71,23859802931,223010394,46989685
20161206,3202.03,3215.31,3196.52,3199.65,17717015347,157572693,27329167
20161207,3198.47,3222.43,3189.49,3222.24,18944385024,169072847,7472102
20161208,3225.55,3228.12,3211.47,3215.37,19780206592,170710173,51970358
20161209,3209.34,3244.8,3207.04,3232.88,22638714880,204023956,40894906
20161212,3233.67,3245.09,3149.9,3152.97,29426014618,274708461,70320183
20161213,3138.99,3162.5,3118.71,3155.04,20317546086,185164495,25100997
20161214,3149.38,3170.02,3136.35,3140.53,21920615629,201358887,46793094
20161215,3125.76,3138.78,3100.91,3117.68,21286323814,189990626,16253788
20161216,3111.51,3128.87,3106.35,3122.98,18984475034,164988699,19137316
20161219,3120.7,3125.28,3110.08,3118.08,17450023322,154169716,36897298
20161220,3115.9,3117.01,3084.8,3102.88,17161188147,157426759,42009028
20161221,3107.24,3140.25,3107.24,3137.43,20424781005,186706607,11076528
20161222,3132.16,3143.17,3126.89,3139.56,18598155059,167804990,40501737
20161223,3134.93,3138.4,3103.75,3110.15,18928117350,166176769,61407417
20161226,3095.58,3122.88,3068.42,3122.57,17055560499,152571881,27394740
20161227,3117.39,3127.88,3113.75,3114.66,16219391590,141528939,35979805
20161228,3113.77,3118.78,3094.55,3102.24,15432964506,135727087,47907172
20161229,3095.84,3111.8,3087.34,3096.1,14991918694,132623292,43778467
20161230,3097.35,3108.84,3089.99,3103.64,15173278106,133267130,31588963
20170103,3105.31,3136.46,3105.31,3135.92,15988714701,141567187,8913895
20170104,3133.79,3160.1,3130.11,3158.79,19591428506,167860850,11142076
20170105,3157.91,3168.5,3154.28,3165.41,19969202586,174727645,36635159
20170106,3163.78,3172.03,3153.03,3154.32,20729603686,183708966,49021300
20170109,3148.53,3173.14,3147.74,3171.24,19211057562,171714075,21037851
20170110,3167.57,3174.58,3157.33,3161.67,19496321024,179759216,46924180
20170111,3156.69,3167.03,3136.27,3136.75,18918645760,178362221,60227793
20170112,3133.6,3144.97,3115.98,3119.29,16192230195,148889240,57082111
20170113,3116.08,3130.51,3102.16,3112.76,17443854746,156274214,56033563
20170116,3104.49,3105.14,3044.29,3103.43,26282604954,257885996,58130706
20170117,3087.03,3108.91,3072.34,3108.77,15475756237,136157861,21627680
20170118,3104.77,3123.72,3098.59,3113.01,14454672589,131780128,41550300
20170119,3104.97,3115.78,3094.01,3101.3,13928046592,123851420,48234887
20170120,3095.82,3125.66,3095.21,3123.14,14147180954,122366777,3408986
20170123,3125.42,3145.84,3125.42,3136.77,14814573363,132660392,12059581
20170124,3134.59,3149.53,3131.22,3142.55,13455385395,125973881,45154737
20170125,3137.65,3151.47,3133.19,3149.55,12676582605,112073827,25952970
20170126,3149.22,3163.1,3148.91,3159.17,12501319680,113876772,19858222
20170203,3160.08,3162.68,3136.01,3140.17,10802366054,92224736,48955778
20170206,3143.09,3158.84,3135.39,3156.98,15006769152,127198283,11469760
20170207,3154.4,3159.54,3140.04,3153.09,15255909171,128337442,41288175
20170208,3148.09,3167.45,3132.03,3166.98,17085412147,144920187,16122732
20170209,3164.69,3186.84,3162.57,3183.18,20972316262,191640327,17236833
20170210,3183.01,3205.05,3182.8,3196.7,24577215693,239348913,38076980
20170213,3198.99,3219.41,3198.99,3216.84,23615876301,220191508,16974706
20170214,3216.14,3219.4,3205.29,3217.93,20425382298,188798088,42205685
